domain,profile,caseID,eventID,modelID,estimateStage,motionMode,sampleCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_canonical,degraded,cv_climb__degraded,synthetic_canonical::cv_climb__degraded,ct_ekf,prior,constant_velocity_climb,240,28.5181363255394,26.0002328498631,44.0143280102118,3.50750105163828,2.52410663845172,7.99510766243364
synthetic_canonical,degraded,cv_climb__degraded,synthetic_canonical::cv_climb__degraded,ct_ekf,posterior,constant_velocity_climb,240,27.2759466493247,24.9947822263467,42.1620874667164,3.49492010275168,2.51543159985321,7.99498619417427
synthetic_canonical,degraded,cv_climb__degraded,synthetic_canonical::cv_climb__degraded,native_imm,prior,constant_velocity_climb,240,52.8337070930747,41.7789315340624,98.8297354317873,13.5512538207952,9.84351519645152,27.1438901541302
synthetic_canonical,degraded,cv_climb__degraded,synthetic_canonical::cv_climb__degraded,native_imm,posterior,constant_velocity_climb,240,47.6948793929568,37.2042498252484,89.4263363461904,12.8210202454707,9.45533526724615,25.0117030809894
synthetic_canonical,degraded,cv_climb__degraded,synthetic_canonical::cv_climb__degraded,warm_ukf,prior,constant_velocity_climb,240,112.415300868777,49.0967590901184,140.123472828593,36.0876324569707,27.4505030708695,58.430654747513
synthetic_canonical,degraded,cv_climb__degraded,synthetic_canonical::cv_climb__degraded,warm_ukf,posterior,constant_velocity_climb,240,94.8482833513384,41.9682162642657,123.455137487425,36.0744951271015,27.3702302543894,58.3445991307336
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,cv_ekf,prior,constant_velocity,120,0.119190498574362,5.58181752900309e-09,0.24766626177741,0.157928843817156,9.33654436260766e-09,0.1718532059188
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,cv_ekf,prior,forward_acceleration,120,0.627147112882184,0.643525705694766,0.658544204349241,0.99693972341671,1.01471223255017,1.04565157615412
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,cv_ekf,posterior,constant_velocity,120,0.0437421185658296,2.04693594033159e-09,0.0908919094289107,0.0882090573290487,7.20769676299571e-09,0.0620623585958589
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,cv_ekf,posterior,forward_acceleration,120,0.230158780428128,0.236169615846286,0.241681298328428,0.608009640671868,0.614712266876306,0.645651608267586
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,ca_ekf,prior,constant_velocity,120,0.138631854566572,7.29372235198561e-05,0.438331351289669,0.226995924770119,7.47752505100951e-05,0.718094084245414
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,ca_ekf,prior,forward_acceleration,120,0.138462349970435,0.000418867248874572,0.437493246451805,0.22671854359043,0.000475252858421807,0.716648312666873
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,ca_ekf,posterior,constant_velocity,120,0.0509383958152547,2.68085161964604e-05,0.161058493749268,0.146137085377693,4.8949165385427e-05,0.463041915911899
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,ca_ekf,posterior,forward_acceleration,120,0.0508761066230995,0.000154111029488706,0.160750530294111,0.145958701936792,0.000336821301540713,0.462617596252426
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,ct_ekf,prior,constant_velocity,120,0.120110768829287,1.23645708726368e-06,0.250909375407509,0.158575916358263,2.32775926476041e-06,0.17416359932958
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,ct_ekf,prior,forward_acceleration,120,0.63103652612803,0.647573894534946,0.662501958732819,1.00002575352757,1.01789891489396,1.04878648501954
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,ct_ekf,posterior,constant_velocity,120,0.0442596148019002,4.55052623449227e-07,0.0924576078986779,0.0887562993193101,1.56109237622509e-06,0.0630336474478183
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,ct_ekf,posterior,forward_acceleration,120,0.232530638640125,0.238624474801298,0.244125348230549,0.611133143978499,0.617898937237235,0.648786500997145
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,native_imm,prior,constant_velocity,120,0.122951937017378,0.0082809878980005,0.251266175480785,0.156229318339145,3.81202210064797e-05,0.166583758198516
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,native_imm,prior,forward_acceleration,120,0.630167896937638,0.646268154366022,0.663261048731131,0.988650568538077,1.00599836958997,1.03843803893715
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,native_imm,posterior,constant_velocity,120,0.0447460578223974,2.98402470602004e-09,0.0942151426403758,0.0881281232433494,8.6556655318885e-09,0.0625211635963489
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,native_imm,posterior,forward_acceleration,120,0.234560733654099,0.240735551399404,0.246188920956398,0.607293212941802,0.613889772647707,0.645660642693556
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,warm_ukf,prior,constant_velocity,120,68.7779617472781,10.8143980456965,42.3670441093832,12.2943255507554,9.93007262566545,20.7239724770771
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,warm_ukf,prior,forward_acceleration,120,107.742470986499,11.224312695834,114.94125085539,14.677418488834,14.5026565844018,19.991963711743
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,warm_ukf,posterior,constant_velocity,120,0.0510409829123539,0.0501208826782505,0.0728916908946365,12.4052134911163,9.94280638564573,20.8100752278879
synthetic_canonical,ideal,horizontal_acceleration__ideal,synthetic_canonical::horizontal_acceleration__ideal,warm_ukf,posterior,forward_acceleration,120,0.0511283301820128,0.0500178810333483,0.0725444863476807,14.5722312461902,14.2174571208354,20.0588954028538
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,cv_ekf,prior,constant_velocity,120,1.99849901940834,3.73316884544474e-05,3.34904226759469,0.683497597104195,3.75786644623203e-06,0.544043737149322
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,cv_ekf,prior,forward_acceleration,120,4.42810026737174,1.25745905293838,10.5494844980538,2.0823085032102,1.42846769769523,4.11423942200395
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,cv_ekf,posterior,constant_velocity,120,1.30198521436424,2.87589364334252e-05,2.64082826321761,0.443504226519635,3.75786644623203e-06,0.472142669628823
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,cv_ekf,posterior,forward_acceleration,120,3.71426722374526,0.649111314993483,9.26820290538257,1.81438734277794,1.02962069593167,3.85758218800676
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,ca_ekf,prior,constant_velocity,120,4.80530690841747,0.0167881992665229,12.3339183304965,1.39951888456971,0.00890580647769219,4.14357278001923
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,ca_ekf,prior,forward_acceleration,120,3.19601457206379,0.00515330981377005,6.75016995498734,1.17490427582961,0.00380980468492884,3.23138209957707
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,ca_ekf,posterior,constant_velocity,120,4.16051953462093,0.00780838317329727,10.3484826121996,1.27927688673661,0.00761326958137254,3.79817039627977
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,ca_ekf,posterior,forward_acceleration,120,2.66208978076968,0.00184391400246369,5.30945093866568,1.04869227306509,0.00308049442703557,2.84563598082112
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,ct_ekf,prior,constant_velocity,120,2.00361131995064,6.97272036476913e-05,3.37072363709171,0.684359181479172,2.05082466971789e-05,0.547315689615044
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,ct_ekf,prior,forward_acceleration,120,4.43325422896421,1.26307156059082,10.5602952497524,2.08477199619731,1.43192050591818,4.11636634500794
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,ct_ekf,posterior,constant_velocity,120,1.30654345552266,4.81712215107944e-05,2.65800461305539,0.444319308654094,1.80707619089524e-05,0.475146711778397
