relativeSourceFile,sourceFileSHA256,sessionID,campaignID,captureTimeUtc,receiverOriginSource,legacy_pre3day_v1,campaign_3day_increment_v1,expanded_post3day_v2
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w103_20260821T162740Z/truth/0_20260821_122741_adsb_stage4B_3Day_nohup_20260819T132526Z_w103_20260821T162740Z.txt.gz,18C41F4E09F24AB0953690E42F8DF066CB6E4C8C762D8E032CCC8CF4362EFAEC,stage4B_3Day_nohup_20260819T132526Z_w103_20260821T162740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 16:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w104_20260821T165740Z/truth/0_20260821_125741_adsb_stage4B_3Day_nohup_20260819T132526Z_w104_20260821T165740Z.txt.gz,999C14116DD87BB6E91FC3EB7B3B5793E3A91ADE0791F9720919544D9F0B2924,stage4B_3Day_nohup_20260819T132526Z_w104_20260821T165740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 16:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w105_20260821T172740Z/truth/0_20260821_132741_adsb_stage4B_3Day_nohup_20260819T132526Z_w105_20260821T172740Z.txt.gz,CCCE8DC63868E7EC5FCB82586A6A41103AD54C36FD204C268C4F528BD427C178,stage4B_3Day_nohup_20260819T132526Z_w105_20260821T172740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 17:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w106_20260821T175740Z/truth/0_20260821_135741_adsb_stage4B_3Day_nohup_20260819T132526Z_w106_20260821T175740Z.txt.gz,A14DDA61F7B934DB521189702749BC01E30E91837C5F7F04A0FEEBD0451B38F2,stage4B_3Day_nohup_20260819T132526Z_w106_20260821T175740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 17:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w107_20260821T182740Z/truth/0_20260821_142741_adsb_stage4B_3Day_nohup_20260819T132526Z_w107_20260821T182740Z.txt.gz,BD0B52A3038899B53319B659DFC1879DCE2A41CA82BB9DCF4F39DC338CAE1C56,stage4B_3Day_nohup_20260819T132526Z_w107_20260821T182740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 18:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w108_20260821T185740Z/truth/0_20260821_145741_adsb_stage4B_3Day_nohup_20260819T132526Z_w108_20260821T185740Z.txt.gz,F8512D949729ECAF9CFD619B22EF609795027715103C6173BF5719FACD3DE198,stage4B_3Day_nohup_20260819T132526Z_w108_20260821T185740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 18:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w109_20260821T192740Z/truth/0_20260821_152741_adsb_stage4B_3Day_nohup_20260819T132526Z_w109_20260821T192740Z.txt.gz,1238B6BD2A081629633E55EB222B231E01D3CBFCD6575062CD2D6DFEF5F2E109,stage4B_3Day_nohup_20260819T132526Z_w109_20260821T192740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 19:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w110_20260821T195740Z/truth/0_20260821_155741_adsb_stage4B_3Day_nohup_20260819T132526Z_w110_20260821T195740Z.txt.gz,F08CD7E2B2B172BC77DFAFCD81046030AE2D83AEDB3C499CC2D5AA491DCEA73D,stage4B_3Day_nohup_20260819T132526Z_w110_20260821T195740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 19:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w111_20260821T202740Z/truth/0_20260821_162741_adsb_stage4B_3Day_nohup_20260819T132526Z_w111_20260821T202740Z.txt.gz,931C76AF4E392598BFEAB93083E3D357F3151B88D92721A764AE32351955D050,stage4B_3Day_nohup_20260819T132526Z_w111_20260821T202740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 20:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w112_20260821T205740Z/truth/0_20260821_165741_adsb_stage4B_3Day_nohup_20260819T132526Z_w112_20260821T205740Z.txt.gz,B79B0DC5BF2E118AFBCB54B9D12F4A50431F0B861D54EA6A6F2B5EC1B24B83B4,stage4B_3Day_nohup_20260819T132526Z_w112_20260821T205740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 20:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w113_20260821T212740Z/truth/0_20260821_172741_adsb_stage4B_3Day_nohup_20260819T132526Z_w113_20260821T212740Z.txt.gz,2DDA4C8DE9C13CA539CD4E139CAD4FC4DAEF765C49504E836722E54D56E8ED2F,stage4B_3Day_nohup_20260819T132526Z_w113_20260821T212740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 21:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w114_20260821T215740Z/truth/0_20260821_175741_adsb_stage4B_3Day_nohup_20260819T132526Z_w114_20260821T215740Z.txt.gz,6777B8835A0A180AF9A5CD7E55CB1A2555CF537AA45C68BBE82CC172C85D1E74,stage4B_3Day_nohup_20260819T132526Z_w114_20260821T215740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 21:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w115_20260821T222740Z/truth/0_20260821_182741_adsb_stage4B_3Day_nohup_20260819T132526Z_w115_20260821T222740Z.txt.gz,47996DEEC5E0A725BD8DF177E63D8F71E5ACBEF11CB4E13846CD6C01D07B1895,stage4B_3Day_nohup_20260819T132526Z_w115_20260821T222740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 22:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w116_20260821T225740Z/truth/0_20260821_185741_adsb_stage4B_3Day_nohup_20260819T132526Z_w116_20260821T225740Z.txt.gz,0D6B16AAB3C342D3E7CCA9944A7D3F78F592B65B1539441AE73B3A1D4B03B5EA,stage4B_3Day_nohup_20260819T132526Z_w116_20260821T225740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 22:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w117_20260821T232740Z/truth/0_20260821_192741_adsb_stage4B_3Day_nohup_20260819T132526Z_w117_20260821T232740Z.txt.gz,191E195E6540112121B7E523B6F48B351CC81E94320144E272231411D89A452E,stage4B_3Day_nohup_20260819T132526Z_w117_20260821T232740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 23:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w118_20260821T235740Z/truth/0_20260821_195741_adsb_stage4B_3Day_nohup_20260819T132526Z_w118_20260821T235740Z.txt.gz,93681C9CC1BAD8D66809825080008DBEF7913AA799C9114842F018A72108F77D,stage4B_3Day_nohup_20260819T132526Z_w118_20260821T235740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 23:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w119_20260822T002740Z/truth/0_20260821_202741_adsb_stage4B_3Day_nohup_20260819T132526Z_w119_20260822T002740Z.txt.gz,57A2FA5FC27C051E22B6BEECD8AEBB90973A30C89C83C1C2DCDD963C4195537F,stage4B_3Day_nohup_20260819T132526Z_w119_20260822T002740Z,stage4B_3Day_nohup_20260819T132526Z,22-Aug-2026 00:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w120_20260822T005740Z/truth/0_20260821_205741_adsb_stage4B_3Day_nohup_20260819T132526Z_w120_20260822T005740Z.txt.gz,627595A08EC21EB16A9DA1CDD38095E520100D6B7688C5D38CB1869224809B60,stage4B_3Day_nohup_20260819T132526Z_w120_20260822T005740Z,stage4B_3Day_nohup_20260819T132526Z,22-Aug-2026 00:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w121_20260822T012740Z/truth/0_20260821_212741_adsb_stage4B_3Day_nohup_20260819T132526Z_w121_20260822T012740Z.txt.gz,AA90ED78BF56FEFD02D7698497827D87E4D7CC66413A5455044893E0124453F4,stage4B_3Day_nohup_20260819T132526Z_w121_20260822T012740Z,stage4B_3Day_nohup_20260819T132526Z,22-Aug-2026 01:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w122_20260822T015740Z/truth/0_20260821_215741_adsb_stage4B_3Day_nohup_20260819T132526Z_w122_20260822T015740Z.txt.gz,1DF27D9B8115B54DBF52C1AA11B76B8D35DEFD59A544E8BE41FEF3D7EA952EBF,stage4B_3Day_nohup_20260819T132526Z_w122_20260822T015740Z,stage4B_3Day_nohup_20260819T132526Z,22-Aug-2026 01:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w123_20260822T022740Z/truth/0_20260821_222742_adsb_stage4B_3Day_nohup_20260819T132526Z_w123_20260822T022740Z.txt.gz,C706068CBA87CBDDD1BAD395D17237555BA5A90949BBCAD58BB3E631128B682B,stage4B_3Day_nohup_20260819T132526Z_w123_20260822T022740Z,stage4B_3Day_nohup_20260819T132526Z,22-Aug-2026 02:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w124_20260822T025740Z/truth/0_20260821_225741_adsb_stage4B_3Day_nohup_20260819T132526Z_w124_20260822T025740Z.txt.gz,979B244D32E43565E885953CD60D829396E49449D2802614C2A432CD1DD11928,stage4B_3Day_nohup_20260819T132526Z_w124_20260822T025740Z,stage4B_3Day_nohup_20260819T132526Z,22-Aug-2026 02:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w125_20260822T032740Z/truth/0_20260821_232741_adsb_stage4B_3Day_nohup_20260819T132526Z_w125_20260822T032740Z.txt.gz,D23323E7093E057D4CD323B6150F7A23C650FC76AC5FFE196F99F3FE53FB534E,stage4B_3Day_nohup_20260819T132526Z_w125_20260822T032740Z,stage4B_3Day_nohup_20260819T132526Z,22-Aug-2026 03:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w126_20260822T035740Z/truth/0_20260821_235742_adsb_stage4B_3Day_nohup_20260819T132526Z_w126_20260822T035740Z.txt.gz,5A5F390CE9D551549E6ACA515F9D55DE97318521AFF8B7BA404A4B19F477EB3F,stage4B_3Day_nohup_20260819T132526Z_w126_20260822T035740Z,stage4B_3Day_nohup_20260819T132526Z,22-Aug-2026 03:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w127_20260822T042740Z/truth/0_20260822_002742_adsb_stage4B_3Day_nohup_20260819T132526Z_w127_20260822T042740Z.txt.gz,C20F9C1AEA46177847FE754298932513870F1DB987C5CA5B15761E50A81C0C4D,stage4B_3Day_nohup_20260819T132526Z_w127_20260822T042740Z,stage4B_3Day_nohup_20260819T132526Z,22-Aug-2026 04:27:40,session_manifest,0,1,1
