modelID,split,groupDimension,groupName,weighting,sampleCount,eventCount,positionRMSEMeters,velocityRMSEMetersPerSecond,positionMedianErrorMeters,velocityMedianErrorMetersPerSecond,positionP95ErrorMeters,velocityP95ErrorMetersPerSecond
expanded_scratch_mean_v1,validation,maneuver_class,constacc_like,independent_event_weighted,17030,9594,15.200882236484,1.07513793368432,9.59023444300145,0.488796352534536,30.6043711713873,2.0245226952321
expanded_warm_mean_v1,validation,maneuver_class,constacc_like,pair_weighted,17030,9594,13.7366030715602,1.04307247911772,9.47699691293648,0.49857748204107,26.4481893244351,1.97540264883007
expanded_warm_mean_v1,validation,maneuver_class,constacc_like,independent_event_weighted,17030,9594,14.2059819538961,1.04874313634869,9.56220718087128,0.464416322305324,27.5133169920417,1.94983298748806
constvel,validation,vertical_status,climb,pair_weighted,30111,582,34.6889612368866,5.00028287433346,6.38754730308472,0.287455595037869,20.5254775983775,2.7068070046775
constvel,validation,vertical_status,climb,independent_event_weighted,30111,582,96.3037206864166,12.616162163618,6.2901999372307,0.448114315397786,32.9650395293005,5.08572746356916
legacy_stage3a_v1,validation,vertical_status,climb,pair_weighted,30111,582,280.858575196183,5.10619150840202,55.9596091125664,0.49002493375178,386.937959982833,3.47936892558879
legacy_stage3a_v1,validation,vertical_status,climb,independent_event_weighted,30111,582,466.200420170071,12.6690199242432,44.8674453072817,0.700360348066634,932.557081517105,7.8769105218242
expanded_scratch_mean_v1,validation,vertical_status,climb,pair_weighted,30111,582,38.4234515956093,4.9262560695173,10.5131031942236,0.347880898539189,36.4646203793524,2.92759463324126
expanded_scratch_mean_v1,validation,vertical_status,climb,independent_event_weighted,30111,582,97.9642505795642,12.4889860108748,10.7288422511248,0.517790640950588,66.0601091565764,5.44348927070024
expanded_warm_mean_v1,validation,vertical_status,climb,pair_weighted,30111,582,38.2094738363031,4.95039178484238,10.9157098276527,0.316638009199829,32.7392453522495,2.859402934226
expanded_warm_mean_v1,validation,vertical_status,climb,independent_event_weighted,30111,582,98.2752603940075,12.5001889190548,11.2465723970071,0.493395072265807,60.9872629261892,5.24771130440402
constvel,validation,vertical_status,level,pair_weighted,30984,825,18.295171144223,4.51166956484233,5.15450853515232,0.035488278827777,22.6032558508476,1.71527629566631
constvel,validation,vertical_status,level,independent_event_weighted,30984,825,26.1163342485023,5.78356170247696,5.46025917211968,0.32512,29.1839002963043,4.03928323826144
legacy_stage3a_v1,validation,vertical_status,level,pair_weighted,30984,825,187.094409851981,4.55516827888367,23.7727178534174,0.233153415611924,225.600370461754,2.09173195963536
legacy_stage3a_v1,validation,vertical_status,level,independent_event_weighted,30984,825,284.96606156562,5.85496190886466,27.8543144309715,0.476745600073002,434.785126604799,4.40236288587951
expanded_scratch_mean_v1,validation,vertical_status,level,pair_weighted,30984,825,21.9575995959239,4.51273172184138,8.82022010052727,0.21132099151408,30.1454497879987,1.90363121918564
expanded_scratch_mean_v1,validation,vertical_status,level,independent_event_weighted,30984,825,32.4755917291856,5.78735028101966,9.42126141938561,0.425229836716085,41.8518784504861,4.21298693138359
expanded_warm_mean_v1,validation,vertical_status,level,pair_weighted,30984,825,21.44442938267,4.50704590652846,8.94503143839325,0.167601380539718,29.8484826881786,1.83113861184034
expanded_warm_mean_v1,validation,vertical_status,level,independent_event_weighted,30984,825,30.8215640720337,5.78225172560443,9.6969609587526,0.372319256247944,44.350765045226,4.11203550215903
constvel,validation,vertical_status,descent,pair_weighted,25325,435,26.3273107525795,3.71110402032488,5.68054392025041,0.188465958870409,16.0821988839277,2.27572473213639
constvel,validation,vertical_status,descent,independent_event_weighted,25325,435,40.196389881233,4.00326332741925,6.07045780921892,0.386911661780071,29.5944903978679,4.05563954817083
legacy_stage3a_v1,validation,vertical_status,descent,pair_weighted,25325,435,135.654152785458,3.71064051086591,16.5261704885717,0.214644263998048,153.446942731938,2.33777777433148
legacy_stage3a_v1,validation,vertical_status,descent,independent_event_weighted,25325,435,273.71290709806,4.01692871921967,28.3671113728968,0.427328065150507,444.201249695697,4.28950432790584
expanded_scratch_mean_v1,validation,vertical_status,descent,pair_weighted,25325,435,30.3221389445721,3.68770688432446,9.48278825591916,0.257450651858184,27.9866017494497,2.41143535159617
expanded_scratch_mean_v1,validation,vertical_status,descent,independent_event_weighted,25325,435,54.0402082626274,4.24562928691503,10.2280117574274,0.53645054519312,61.0262723141217,4.9782320039117
expanded_warm_mean_v1,validation,vertical_status,descent,pair_weighted,25325,435,30.2774965627106,3.68615928639115,8.91286999090847,0.23809296431441,26.1457285803299,2.34749200787842
expanded_warm_mean_v1,validation,vertical_status,descent,independent_event_weighted,25325,435,54.3806803621125,4.09688522122983,10.5914173814789,0.444848990134046,57.3066232771615,4.59898537204767
constvel,validation,update_regime,sparse_update,pair_weighted,3014,2280,133.413653783753,15.7262363162169,19.0065206419825,1.07676414956882,125.886113624394,19.9166936785057
constvel,validation,update_regime,sparse_update,independent_event_weighted,3014,2280,126.348553635189,15.6055601216738,18.1911951856495,1.07966894084098,117.567135817163,19.9984737249097
legacy_stage3a_v1,validation,update_regime,sparse_update,pair_weighted,3014,2280,1052.95537274046,16.0168637539772,625.147724189106,2.70319035280906,2242.34289066067,20.4664451125822
legacy_stage3a_v1,validation,update_regime,sparse_update,independent_event_weighted,3014,2280,1012.96708771801,15.9117993998739,610.599482295806,2.68120313155224,2156.68802131388,20.4664451125822
expanded_scratch_mean_v1,validation,update_regime,sparse_update,pair_weighted,3014,2280,144.857356980164,15.5217044945003,43.973787197478,1.94689865741434,182.43504981391,19.3509921007853
expanded_scratch_mean_v1,validation,update_regime,sparse_update,independent_event_weighted,3014,2280,138.190297508886,15.3681198086571,42.8328761457532,1.89939611983694,177.620723246595,19.3374174786572
expanded_warm_mean_v1,validation,update_regime,sparse_update,pair_weighted,3014,2280,144.482475263213,15.5570010669265,42.590457532468,1.77750756216454,187.339279900369,19.4798064797322
expanded_warm_mean_v1,validation,update_regime,sparse_update,independent_event_weighted,3014,2280,136.395487031103,15.4315115883411,41.1490918186299,1.75715200136194,178.032025389006,19.3150360522709
constvel,validation,update_regime,regular_update,pair_weighted,83406,2737,11.2257952051793,3.43987570551553,5.6476252541316,0.167057961724198,17.8409323767393,1.97015469833765
constvel,validation,update_regime,regular_update,independent_event_weighted,83406,2737,20.6427634764975,5.5136454400491,6.81346761703618,0.211295913980456,22.4763339937157,3.2834089549247
legacy_stage3a_v1,validation,update_regime,regular_update,pair_weighted,83406,2737,83.6873991130885,3.46861029384156,27.8776103634398,0.294742832347505,165.94219820433,2.16067802369261
legacy_stage3a_v1,validation,update_regime,regular_update,independent_event_weighted,83406,2737,148.727239399868,5.56616173163814,51.9757026081344,0.425414377015127,350.483779231633,3.67544908296693
expanded_scratch_mean_v1,validation,update_regime,regular_update,pair_weighted,83406,2737,15.2641489872565,3.42774157267043,9.3690048451247,0.260960253606129,26.463743574775,1.99882612735937
expanded_scratch_mean_v1,validation,update_regime,regular_update,independent_event_weighted,83406,2737,25.5609458072583,5.49666450974519,11.8777772839165,0.349602235551168,37.0547220895917,3.31575652929061
expanded_warm_mean_v1,validation,update_regime,regular_update,pair_weighted,83406,2737,14.8962640748813,3.43122636152329,9.32738663412579,0.226796675217886,25.5935633457019,1.98012070396063
expanded_warm_mean_v1,validation,update_regime,regular_update,independent_event_weighted,83406,2737,24.3372997184975,5.50110615256256,11.6865099692715,0.306641785492968,33.5941350558047,3.30866145781989
constvel,test,all,all,pair_weighted,93524,887,23.3028475375455,3.46727539825498,6.00390446870277,0.174698457107171,19.8956943606147,2.22256722451447
constvel,test,all,all,independent_event_weighted,93524,887,64.6508509152453,9.47360145715455,7.2094846503425,0.262177968913301,36.925438664199,4.54168293397476
legacy_stage3a_v1,test,all,all,pair_weighted,93524,887,208.971758301186,3.54669301065397,30.5697819910426,0.300211641138478,247.870704693958,2.5786389515314
legacy_stage3a_v1,test,all,all,independent_event_weighted,93524,887,422.410616541091,9.6450322081057,58.9732843426549,0.491480185002001,864.750487963341,5.72621232990892
expanded_scratch_mean_v1,test,all,all,pair_weighted,93524,887,28.1494217344068,3.45291741951523,9.97796214932602,0.261782983355587,30.7352869112706,2.35102396110123
expanded_scratch_mean_v1,test,all,all,independent_event_weighted,93524,887,71.8749596856546,9.45297727228141,12.7920712201056,0.386412911423831,77.0871381050048,5.40382790030151
expanded_warm_mean_v1,test,all,all,pair_weighted,93524,887,27.4690773431171,3.45315587868118,9.9509809515892,0.232783306165708,29.2569631946229,2.32991836288914
expanded_warm_mean_v1,test,all,all,independent_event_weighted,93524,887,69.760305529532,9.42726397468772,12.4395418599678,0.347828193097041,67.2706626110297,5.15502502233835
constvel,test,maneuver_class,constacc_like,pair_weighted,18028,10415,8.57942301173436,1.02702341133543,5.68495624343711,0.514444400000002,16.4310693083427,1.98051333497789
constvel,test,maneuver_class,constacc_like,independent_event_weighted,18028,10415,8.84326119435872,1.02601949676374,5.83957518861266,0.514444399999976,17.0158429744153,1.86465218297012
legacy_stage3a_v1,test,maneuver_class,constacc_like,pair_weighted,18028,10415,104.214708449183,1.12232205068258,28.4698156268509,0.535957338736235,231.008580588078,2.24018799838576
legacy_stage3a_v1,test,maneuver_class,constacc_like,independent_event_weighted,18028,10415,114.333221298511,1.12760053396352,28.0878829222102,0.511766822071434,272.697430618548,2.21422770127637
expanded_scratch_mean_v1,test,maneuver_class,constacc_like,pair_weighted,18028,10415,14.903418255269,1.05333181438521,9.79361849899752,0.495606619891154,29.0675969324049,2.0585128982565
expanded_scratch_mean_v1,test,maneuver_class,constacc_like,independent_event_weighted,18028,10415,15.4359398361642,1.04419184646677,10.0041747163435,0.467137884511321,30.1626367210832,1.98721394525126
expanded_warm_mean_v1,test,maneuver_class,constacc_like,pair_weighted,18028,10415,14.1755211608612,1.02796751585122,10.0283154752282,0.474243046092372,26.2034278506191,2.04622370995099
expanded_warm_mean_v1,test,maneuver_class,constacc_like,independent_event_weighted,18028,10415,14.4945467776706,1.02051085790376,10.069296813133,0.443376412610031,27.1218846919525,1.98032141146813
constvel,test,maneuver_class,constvel_like,pair_weighted,68020,12537,9.2243763830992,0.485274570947408,5.9381042481098,0.040481869758068,18.0116178100412,0.604609198983721
constvel,test,maneuver_class,constvel_like,independent_event_weighted,68020,12537,9.04170574705572,0.578084537492977,5.70189340444694,0.116040307486664,16.9719871448461,1.0154717039172
legacy_stage3a_v1,test,maneuver_class,constvel_like,pair_weighted,68020,12537,79.0132989493832,0.631854865980322,29.7349163507013,0.207962929255683,157.774084859867,1.28355075855835
legacy_stage3a_v1,test,maneuver_class,constvel_like,independent_event_weighted,68020,12537,81.273418605569,0.703174020713362,26.268500247005,0.226184619641606,160.970743282354,1.41491006719976
expanded_scratch_mean_v1,test,maneuver_class,constvel_like,pair_weighted,68020,12537,13.6512788361336,0.535705208391593,9.78988570018678,0.177406975811477,25.7796513459956,0.884144035010486
expanded_scratch_mean_v1,test,maneuver_class,constvel_like,independent_event_weighted,68020,12537,13.7658921811704,0.626648898976025,9.49658509788239,0.204976480136517,25.7796513459956,1.14212351208775
expanded_warm_mean_v1,test,maneuver_class,constvel_like,pair_weighted,68020,12537,13.3909476527625,0.51622599998756,9.66530105028399,0.153285156573182,24.8804999416798,0.793414549835811
expanded_warm_mean_v1,test,maneuver_class,constvel_like,independent_event_weighted,68020,12537,13.4474792512544,0.599860402385771,9.56667456768087,0.173679696959068,24.2618547802307,1.08908837551125
constvel,test,maneuver_class,constturn_like,pair_weighted,2186,1254,14.3925304134183,15.2968668250026,6.09773403281078,2.35186507256622,20.5764070174217,8.15953312651948
constvel,test,maneuver_class,constturn_like,independent_event_weighted,2186,1254,11.3529875842358,10.6051679644889,5.73863011488854,1.99570951500602,17.5850775456569,6.17129885161001
legacy_stage3a_v1,test,maneuver_class,constturn_like,pair_weighted,2186,1254,62.3572459086028,15.3034526683288,28.3816236334007,2.3185403344133,136.402426405561,8.12017198079984
legacy_stage3a_v1,test,maneuver_class,constturn_like,independent_event_weighted,2186,1254,55.3985820732557,10.6060559105741,25.253663025608,1.98174948741744,114.222621799165,6.27279301801753
expanded_scratch_mean_v1,test,maneuver_class,constturn_like,pair_weighted,2186,1254,17.5476945243231,15.2607261470403,9.39435298925397,2.2422229510351,28.2980538692595,7.93258513243044
expanded_scratch_mean_v1,test,maneuver_class,constturn_like,independent_event_weighted,2186,1254,14.6267088668464,10.5805430424694,8.6894857120995,1.92036642570883,25.6304224916057,6.18975806832382
expanded_warm_mean_v1,test,maneuver_class,constturn_like,pair_weighted,2186,1254,17.4819404370708,15.2752228974515,9.49220247299112,2.2920938290474,27.0357392175397,8.03322922506867
expanded_warm_mean_v1,test,maneuver_class,constturn_like,independent_event_weighted,2186,1254,14.5934845368355,10.5873760680899,8.91944282714959,1.97766142451458,24.1061132295106,6.27792033720062
constvel,test,maneuver_class,mixed_or_sparse,pair_weighted,5290,3909,90.3867939160068,10.4510794829411,10.6789417888851,1.62004537850603,73.3699812675861,12.5512940151583
constvel,test,maneuver_class,mixed_or_sparse,independent_event_weighted,5290,3909,89.3796197430082,8.56695939027052,10.8446696142616,1.5260086219569,69.0764854218367,10.8286825682922
legacy_stage3a_v1,test,maneuver_class,mixed_or_sparse,pair_weighted,5290,3909,808.177160751441,10.7789708890286,197.256523376603,2.26335052466602,1734.61913802326,13.9094062015914
legacy_stage3a_v1,test,maneuver_class,mixed_or_sparse,independent_event_weighted,5290,3909,818.93832450634,8.98199255525437,234.782916653881,2.16133334657568,1757.75104345187,12.9685988427698
expanded_scratch_mean_v1,test,maneuver_class,mixed_or_sparse,pair_weighted,5290,3909,103.578775035614,10.3477644173632,23.9096930749537,1.97432692784558,147.663535286876,13.1103048331076
expanded_scratch_mean_v1,test,maneuver_class,mixed_or_sparse,independent_event_weighted,5290,3909,103.33868241152,8.48066196041557,25.2226950039699,1.8597729886345,143.42696927096,11.3666721625744
expanded_warm_mean_v1,test,maneuver_class,mixed_or_sparse,pair_weighted,5290,3909,101.109771874286,10.3617469230133,22.7050807084125,1.9422640986976,141.853404317564,12.7592653400476
expanded_warm_mean_v1,test,maneuver_class,mixed_or_sparse,independent_event_weighted,5290,3909,101.244813565431,8.48891382734422,23.4118043450591,1.84133448403765,138.9023627871,11.191052597841
constvel,test,vertical_status,level,pair_weighted,29576,769,27.1825648326731,3.39063119197553,5.27938098302862,0.0562932324658953,20.9058953588594,1.6661329277024
constvel,test,vertical_status,level,independent_event_weighted,29576,769,52.0946658652452,4.66728968598735,5.50190079147827,0.32512,28.879465972647,4.14444702832107
legacy_stage3a_v1,test,vertical_status,level,pair_weighted,29576,769,191.907505709271,3.4428678699085,27.1406008209187,0.25613072880233,230.272697765479,1.96709330050097
