domain,profile,comparisonFamily,modelID,weighting,caseID,targetReference,sampleCount,eventCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond,referencePositionRMSEMeters,positionRMSEChangePercent,referenceVelocityRMSEMetersPerSecond,velocityRMSEChangePercent
synthetic_canonical,empirical_timing,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,1365,7,20.0614403000418,1.81898940354586e-12,0.0985526776679635,3.14989041996856,0,0.215021275008307,0.0291725274646882,68668.2626208001,0.116690109858898,2599.36365967725
synthetic_canonical,empirical_timing,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,1365,7,19.2551575500202,4.06738395668033e-12,0.43721881588013,3.01641674204784,4.2632564145606e-14,0.800000000000019,0.0492480626923009,38998.3045776346,0.196502158978915,1435.05526744442
synthetic_canonical,degraded,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,1031,7,76.1708029035948,57.1561173348515,107.032260798963,7.1953531233723,3.07537027164688,9.01833451717946,14.9407254343853,409.819976534017,1.15231526404145,524.425740759212
synthetic_canonical,degraded,same_information,constvel,pair_weighted,all,latent_kinematic_truth,1031,7,73.8724754219827,55.4590491989088,104.278193847944,7.20302712541198,3.03521473709756,8.9029264667689,0.285948164410107,25734.2191405135,1.14379265764041,529.749376103836
synthetic_canonical,degraded,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,1024,7,76.2665124328417,57.2477891524795,107.032260798963,7.21340300140003,3.07240269184306,9.01833451717946,14.9396552343698,410.497138229703,1.15350385457749,525.347108531524
synthetic_canonical,degraded,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,1024,7,73.9628361097314,55.4590491989088,104.278193847944,7.22118682834632,3.02882105935941,8.9029264667689,0.286246493301271,25738.8619042003,1.14498597320507,530.6790648389
synthetic_canonical,degraded,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,1024,7,94.1843669973421,57.2491025427274,116.340351231032,14.9703983850998,6.51872851711614,29.0848094543194,0.0291725274646882,322752.955100812,0.116690109858898,12729.1921253669
synthetic_canonical,degraded,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,1024,7,73.0029449329315,56.4099288721074,108.962835178123,8.90950656899347,4.08509104257176,15.8063924920769,0.0492480626923009,148135.160820538,0.196502158978915,4434.05021873041
synthetic_in_distribution,ideal,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,120000,100,25.42799638048,19.0993392030328,46.9993084699143,2.06152570421252,0.483200355455618,4.8691670381239,25.42799638048,0,2.06152570421252,0
synthetic_in_distribution,ideal,same_information,constvel,pair_weighted,all,latent_kinematic_truth,120000,100,0.511600965054538,0.0952630128015128,1.21105729326499,2.04640386021817,0.381052051206932,4.84422917306976,0.511600965054538,0,2.04640386021817,0
synthetic_in_distribution,ideal,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,119900,100,25.4317959242441,19.1018616666672,47.0061738053385,2.06138020530258,0.483147056092851,4.8691670381239,25.4317959242441,0,2.06138020530258,0
synthetic_in_distribution,ideal,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,119900,100,0.511558100542503,0.0952630128015128,1.21105729326499,2.04623240217003,0.381052051206932,4.84422917306976,0.511558100542503,0,2.04623240217003,0
synthetic_in_distribution,ideal,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,119900,100,0.0808267121554592,9.09494701772928e-13,0.0291530071453088,0.323306848621856,0,0.116612028584505,0.0808267121554592,0,0.323306848621856,0
synthetic_in_distribution,ideal,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,119900,100,0.109042474765768,0.0221793779415631,0.174971524527908,0.436197598326192,0.0883979911205373,0.699105578015999,0.109042474765768,0,0.436197598326192,0
synthetic_in_distribution,empirical_timing,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,49143,100,58.5981027181292,20.2205955162287,66.9418052448518,8.52538383511237,0.763890706608035,11.2090668849838,25.42799638048,130.447188371918,2.06152570421252,313.547297406556
synthetic_in_distribution,empirical_timing,same_information,constvel,pair_weighted,all,latent_kinematic_truth,49143,100,43.5975763838552,0.191426225587605,11.1001773271998,8.4742666791946,0.587294769750834,11.15294529702,0.511600965054538,8421.79322593883,2.04640386021817,314.105291918828
synthetic_in_distribution,empirical_timing,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,49043,100,58.6381375697551,20.2338276500918,66.986316066542,8.53159003108865,0.763408489222329,11.2144309730832,25.4317959242441,130.570179724725,2.06138020530258,313.877556849651
synthetic_in_distribution,empirical_timing,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,49043,100,43.6402867462029,0.191426225587494,11.1011768505164,8.48025916359935,0.587294769750834,11.1529452970201,0.511558100542503,8430.85635823629,2.04623240217003,314.432845194223
synthetic_in_distribution,empirical_timing,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,49043,100,16.6139796076572,7.49988544269883e-12,0.756695004546797,3.57298705265059,0,1.1884210593509,0.0808267121554592,20455.0605296211,0.323306848621856,1005.13806555011
synthetic_in_distribution,empirical_timing,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,49043,100,15.3356315928664,0.0548581871827062,2.39557256887812,3.24069082208615,0.146479809427121,2.17836458165999,0.109042474765768,13963.9064051037,0.436197598326192,642.941005297039
synthetic_in_distribution,degraded,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,36751,100,96.6042770399946,62.3255057881696,129.906802880626,11.3061801142622,3.59807726550072,16.5977549365289,25.42799638048,279.913051718671,2.06152570421252,448.437503891373
synthetic_in_distribution,degraded,same_information,constvel,pair_weighted,all,latent_kinematic_truth,36751,100,84.8151544382371,55.174188862614,110.158566069909,11.2448707154592,3.53799472949277,16.5663911052389,0.511600965054538,16478.3804628272,2.04640386021817,449.49420952814
synthetic_in_distribution,degraded,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,36651,100,96.6603418326079,62.3253085571905,129.995731342007,11.3151679348359,3.59807645683589,16.6051663985785,25.4317959242441,280.076743775935,2.06138020530258,448.91222423352
synthetic_in_distribution,degraded,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,36651,100,84.8665137251979,55.1808303624174,110.192377182505,11.2536198486426,3.53782012387355,16.5788751115251,0.511558100542503,16489.8093755524,2.04623240217003,449.967825585605
synthetic_in_distribution,degraded,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,36651,100,116.964324449702,56.6939568305133,125.331751738996,18.7198880620989,6.49694719958745,31.846595450182,0.0808267121554592,144609.986748857,0.323306848621856,5690.13037982189
synthetic_in_distribution,degraded,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,36651,100,89.1554514441872,55.7395810640155,113.838598564068,12.1797346379639,4.34399273227885,19.682850751866,0.109042474765768,81662.1313490002,0.436197598326192,2692.25165033022
synthetic_out_of_distribution,ideal,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,60000,50,47.4116458591098,36.0116334958006,90.6184572401229,13.2852421418263,2.31170242173072,28.8283130039347,47.4116458591098,0,13.2852421418263,0
synthetic_out_of_distribution,ideal,same_information,constvel,pair_weighted,all,latent_kinematic_truth,60000,50,3.31558111605368,0.549293882486653,7.19722056294649,13.2623244642147,2.1971755299428,28.7888822517873,3.31558111605368,0,13.2623244642147,0
synthetic_out_of_distribution,ideal,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,59950,50,47.4223586546177,36.0289889461966,90.6264105388657,13.2851205628598,2.31182592970403,28.8289701174281,47.4223586546177,0,13.2851205628598,0
synthetic_out_of_distribution,ideal,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,59950,50,3.31554029230004,0.549293882486653,7.19722056294659,13.2621611692002,2.1971755299428,28.7888822517873,3.31554029230004,0,13.2621611692002,0
synthetic_out_of_distribution,ideal,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,59950,50,0.890494259911975,1.81898940354586e-12,0.618062695390292,3.5619770396479,0,2.47225078157171,0.890494259911975,0,3.5619770396479,0
synthetic_out_of_distribution,ideal,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,59950,50,1.04915563625291,0.243569712398586,1.52783522430005,4.19500184489634,0.96407403570713,6.11327033433923,1.04915563625291,0,4.19500184489634,0
synthetic_out_of_distribution,empirical_timing,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,24800,50,240.756582895386,40.6861567029669,163.797412135087,45.5818724409859,4.245166993888,69.9039101144076,47.4116458591098,407.800517220658,13.2852421418263,243.1015555033
synthetic_out_of_distribution,empirical_timing,same_information,constvel,pair_weighted,all,latent_kinematic_truth,24800,50,215.889081853621,1.9884598799038,79.9994820034072,45.4519684387445,3.9417694547921,70.2339906198471,3.31558111605368,6411.34972413461,13.2623244642147,242.71494835906
synthetic_out_of_distribution,empirical_timing,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,24750,50,240.964052073551,40.7094641499672,163.896846546007,45.5970088872901,4.25032767152601,69.9484161994358,47.4223586546177,408.123296499272,13.2851205628598,243.218630734615
synthetic_out_of_distribution,empirical_timing,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,24750,50,216.079631977395,1.9884598799038,80.0555824493838,45.4669679167878,3.9417694547921,70.2367974953572,3.31554029230004,6417.17707907864,13.2621611692002,242.832267959309
synthetic_out_of_distribution,empirical_timing,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,24750,50,201.008904243359,1.51096607858891e-11,22.847848921827,41.3430867428763,0,31.1681118351719,0.890494259911975,22472.7344119241,3.5619770396479,1060.67808081557
synthetic_out_of_distribution,empirical_timing,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,24750,50,147.845136576807,0.599647509740019,25.881998086764,31.1156750406219,1.891790916497,25.800339985696,1.04915563625291,13991.8212196657,4.19500184489634,641.732094313078
synthetic_out_of_distribution,degraded,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,18624,50,321.342346882976,77.4922809070888,277.799344629681,58.1662220755872,6.76616129401166,106.072244355997,47.4116458591098,577.770916955486,13.2852421418263,337.825833015576
synthetic_out_of_distribution,degraded,same_information,constvel,pair_weighted,all,latent_kinematic_truth,18624,50,292.368255708374,59.1294891153755,181.296594449176,58.0097235985057,6.40710705377955,106.419663519902,3.31558111605368,8718.00943710167,13.2623244642147,337.402385645377
