domain,profile,comparisonFamily,modelID,weighting,caseID,targetReference,sampleCount,eventCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_in_distribution,ideal,causal_history,constvel,independent_event_weighted,all,latent_kinematic_truth,119900,100,0.511558100542508,0.0952630128015128,1.21105729326499,2.04623240217005,0.381052051206932,4.84422917306976
synthetic_in_distribution,ideal,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,119900,100,0.0808267121554592,9.09494701772928e-13,0.0291530071453088,0.323306848621856,0,0.116612028584505
synthetic_in_distribution,ideal,causal_history,constacc,independent_event_weighted,all,latent_kinematic_truth,119900,100,0.08082671215546,9.09494701772928e-13,0.0291530071453088,0.323306848621859,0,0.116612028584505
synthetic_in_distribution,ideal,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,119900,100,0.109042474765768,0.0221793779415631,0.174971524527908,0.436197598326192,0.0883979911205373,0.699105578015999
synthetic_in_distribution,ideal,causal_history,constturn,independent_event_weighted,all,latent_kinematic_truth,119900,100,0.109042474765769,0.0221793779415631,0.174971524527908,0.436197598326196,0.0883979911205373,0.699105578015999
synthetic_in_distribution,empirical_timing,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,49143,100,58.5981027181292,20.2205955162287,66.9418052448518,8.52538383511237,0.763890706608035,11.2090668849838
synthetic_in_distribution,empirical_timing,same_information,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,49143,100,58.7433327043498,20.2118509958996,67.3701391585811,8.54110107468556,0.763408489222329,11.2336843834824
synthetic_in_distribution,empirical_timing,same_information,constvel,pair_weighted,all,latent_kinematic_truth,49143,100,43.5975763838552,0.191426225587605,11.1001773271998,8.4742666791946,0.587294769750834,11.15294529702
synthetic_in_distribution,empirical_timing,same_information,constvel,independent_event_weighted,all,latent_kinematic_truth,49143,100,43.7040289306119,0.192578319322431,11.1558989289636,8.49095971481685,0.588066267305856,11.1640055070695
synthetic_in_distribution,empirical_timing,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,49043,100,58.6381375697551,20.2338276500918,66.986316066542,8.53159003108865,0.763408489222329,11.2144309730832
synthetic_in_distribution,empirical_timing,causal_history,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,49043,100,58.7839326769814,20.2197201228293,67.4434670331069,8.54737079148322,0.763130767574648,11.234945496316
synthetic_in_distribution,empirical_timing,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,49043,100,43.6402867462029,0.191426225587494,11.1011768505164,8.48025916359935,0.587294769750834,11.1529452970201
synthetic_in_distribution,empirical_timing,causal_history,constvel,independent_event_weighted,all,latent_kinematic_truth,49043,100,43.7472031374395,0.19257831932001,11.155898928964,8.49701209412603,0.588042862133418,11.1810763292224
synthetic_in_distribution,empirical_timing,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,49043,100,16.6139796076572,7.49988544269883e-12,0.756695004546797,3.57298705265059,0,1.1884210593509
synthetic_in_distribution,empirical_timing,causal_history,constacc,independent_event_weighted,all,latent_kinematic_truth,49043,100,16.6938820693316,7.49988544269883e-12,0.760066540941205,3.59010078147057,0,1.19538492790169
synthetic_in_distribution,empirical_timing,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,49043,100,15.3356315928664,0.0548581871827062,2.39557256887812,3.24069082208615,0.146479809427121,2.17836458165999
synthetic_in_distribution,empirical_timing,causal_history,constturn,independent_event_weighted,all,latent_kinematic_truth,49043,100,15.4130026806839,0.0550102963861718,2.41531764391573,3.25735669996853,0.147160801761679,2.19305719022726
