domain,profile,comparisonFamily,comparatorModelID,eventCount,confidenceLevel,meanPositionRMSEDifferenceMeters,positionDifferenceLower,positionDifferenceUpper,meanVelocityRMSEDifferenceMetersPerSecond,velocityDifferenceLower,velocityDifferenceUpper
synthetic_in_distribution,ideal,causal_history,constturn,100,0.95,23.5464468603656,21.683684101031,25.4092096197003,1.47209509821917,1.32822572024668,1.61596447619167
synthetic_in_distribution,empirical_timing,same_information,constvel,100,0.95,17.080909618378,14.6343377390806,19.5274814976755,0.0582376463075501,0.0291627243219761,0.087312568293124
synthetic_in_distribution,empirical_timing,causal_history,constvel,100,0.95,17.079183270864,14.6303739619585,19.5279925797695,0.058608129791544,0.0295219382826871,0.0876943213004008
synthetic_in_distribution,empirical_timing,causal_history,constacc,100,0.95,41.6200325441523,38.2021691259802,45.0378959623245,4.58672663432258,4.0928654421905,5.08058782645466
synthetic_in_distribution,empirical_timing,causal_history,constturn,100,0.95,42.5011219640847,38.5952823917121,46.4069615364573,4.82638098153588,4.22928560000129,5.42347636307047
synthetic_in_distribution,degraded,same_information,constvel,100,0.95,11.9182663144304,10.0055016263696,13.8310310024911,0.0661893536885404,0.0346682671897748,0.097710440187306
synthetic_in_distribution,degraded,causal_history,constvel,100,0.95,11.9231329333482,10.0073483052197,13.8389175614767,0.0665813480367929,0.0350117378113841,0.0981509582622016
synthetic_in_distribution,degraded,causal_history,constacc,100,0.95,-19.7488556042475,-25.7407273235394,-13.7569838849557,-8.10374208677385,-9.01228720777527,-7.19519696577242
synthetic_in_distribution,degraded,causal_history,constturn,100,0.95,7.22337447879311,1.95962956901703,12.4871193885692,-1.55135692609017,-2.41168418670922,-0.691029665471116
synthetic_out_of_distribution,ideal,same_information,constvel,50,0.95,42.4032886560843,38.7624668243042,46.0441104878643,0.0235507229877684,0.0106043738979577,0.0364970720775791
synthetic_out_of_distribution,ideal,causal_history,constvel,50,0.95,42.4131925512021,38.7709791687818,46.0554059336225,0.0235869189545974,0.0106300412146631,0.0365437966945317
synthetic_out_of_distribution,ideal,causal_history,constacc,50,0.95,44.7633714397393,41.0735550243006,48.4531878551779,9.4243024731031,8.72104599489406,10.1275589513121
synthetic_out_of_distribution,ideal,causal_history,constturn,50,0.95,44.6031913057445,40.9120570078457,48.2943256036432,8.78527948746228,8.06368178836421,9.50687718656035
synthetic_out_of_distribution,empirical_timing,same_information,constvel,50,0.95,27.4220338867577,21.1931025533476,33.6509652201679,0.117998447191806,0.0502247315183105,0.185772162865301
synthetic_out_of_distribution,empirical_timing,causal_history,constvel,50,0.95,27.4648807814331,21.2246557335918,33.7051058292743,0.117996000717207,0.0501182921473825,0.185873709287032
synthetic_out_of_distribution,empirical_timing,causal_history,constacc,50,0.95,44.6936510427821,30.4752464789419,58.9120556066223,4.78764222828491,2.41026909959511,7.16501535697472
synthetic_out_of_distribution,empirical_timing,causal_history,constturn,50,0.95,95.6982285645933,72.0060304697754,119.390426659411,14.5228154700043,11.797296538519,17.2483344014895
synthetic_out_of_distribution,degraded,same_information,constvel,50,0.95,30.9738992332829,23.03175405759,38.9160444089759,0.140934530731459,0.0563301090482985,0.225538952414619
synthetic_out_of_distribution,degraded,causal_history,constvel,50,0.95,31.0037804928546,23.0544500320624,38.9531109536469,0.140837391276443,0.0560035731737851,0.2256712093791
synthetic_out_of_distribution,degraded,causal_history,constacc,50,0.95,19.3541043869891,-0.51206957290449,39.2202783468827,0.529006197264333,-2.35475273396083,3.4127651284895
synthetic_out_of_distribution,degraded,causal_history,constturn,50,0.95,97.353732319636,67.265545952788,127.441918686484,15.2301915517583,11.9224838112435,18.5378992922731
real_adsb,baseline,same_information,constvel,887,0.95,10.6680626318462,9.68933309348216,11.6467921702103,0.180181280319465,0.133657461831636,0.226705098807294
real_adsb,baseline,causal_history,constvel,836,0.95,10.2654709900219,9.28487631611298,11.2460656639309,0.152532432196123,0.10182284426372,0.203242020128525
